Legobot II,17458
SQLBot-Hello,17128
CobraBot,17082
LordAnubisBOT,16998
Kyle the bot,16927
Harej bot,16794
DYKadminBot,16736
Locobot,16687
RBot~enwiki,16536
Justincheng12345-bot,16464
Seedbot,16438
FACBot,16272
Roboto de Ajvol,16166
RobotE,16101
NationalRegisterBot,16086
MerlLinkBot,15876
ContinuityBot,15783
NjardarBot,15704
EdoBot,15554
SoxBot II,15508
Alph Bot,15480
KnightRider~enwiki,15392
DodoBot,15261
DorganBot,15250
COBot,15066
VWBot,14977
GrinBot~enwiki,14897
UsuallyNonviolentBot,14853
KocjoBot~enwiki,14737
Snowbot,14524
WeggeBot,14179
PeerReviewBot,14077
RileyBot,14072
MondalorBot,14026
UTRSBot,14010
MauritsBot,13971
DRN clerk bot,13919
Kumi-Taskbot,13914
Jumbuck,13902
^demonBot2,13867
AfDBot,13707
MBisanzBot,13590
ArkyBot,13474
BAGBot,13366
SelketBot,13332
Zorglbot,13280
MSBOT,13189
Tsca.bot,13033
AnomieBOT III,12949
XyBot,12868
JdforresterBot,12837
CounterVandalismBot,12779
Jitse's bot,12610
RebelRobot,12579
28bot,12540
Crypticbot,12467
DixonDBot,12462
RscprinterBot,12452
Almabot,12344
ZhBot,12210
TinucherianBot,12077
NetBot,12064
LinkFA-Bot,12024
Grafikbot,11913
Lonjers french region rename bot,11891
Lucasbfrbot,11882
TechBot,11822
UnCatBot,11714
BotKung,11707
HersfoldArbClerkBot,11405
Cewbot,11145
SD5bot,11127
Mairibot,11109
Chlewbot,11107
MenoBot,11018
CocuBot,10975
NW557Bot,10973
Gerakibot,10967
Cerabot~enwiki,10863
Luasóg bot,10597
AkhtaBot,10551
HiW-Bot,10529
Ligulembot,10499
SimplexityBot,10382
SteenthIWbot,10356
SamatBot,10250
ThePhantomBot,10244
LaraBot,10081
EsquivalienceBot,9650
Kasirbot,9628
MessageDeliveryBot,9604
StatisticianBot,9548
Chem-awb,9480
Darkicebot,9475
Syrcatbot,9434
StigBot,9432
DarafshBot,9387
Mentibot,9369
HerculeBot,9095
CrimsonBot,9084
BsherrAWBBOT,9069
Xenobot Mk V,9048
McM.bot,8954
Sagabot,8903
Bot0612,8899
WebCiteBOT,8896
Anchor Link Bot,8895
WatchlistBot,8836
DefconBot,8805
ErfgoedBot,8677
El bot de la dieta,8593
Louperibot,8553
VVVBot,8498
PkbwcgsBot,8250
RaptureBot,8129
BrokenAnchorBot,8040
TheMagikBOT,8033
RotlinkBot,7960
JCbot,7933
DemonDays64 Bot,7878
RoryBot,7846
Estirabot,7730
Pokbot,7695
LatitudeBot,7691
AccReqBot,7666
Nallimbot,7523
CommonsNotificationBot,7513
Femto Bot,7466
PDFbot,7452
Maksim-bot,7452
ENewsBot,7306
Jogersbot,7206
AFD Bot,7190
SpellingBot,7135
Margosbot~enwiki,7068
MoohanBOT,7011
Kingbotk,6916
IluvatarBot,6906
Purbo T,6470
AlanBOT,6391
Galobot,6370
SSTbot,6344
VixDaemonBot,6296
Jotterbot,6278
Muninnbot,6271
TPO-bot,6256
KittyBot,6229
BodhisattvaBot,6184
MenasimBot,6084
NihiltresBot,6026
Abotzi,5905
MenoBot II,5887
Le Pied-bot~enwiki,5846
LawBot,5841
ChenzwBot,5766
DeadBot,5702
BenoniBot~enwiki,5677
VedeBOT,5673
ElphiBot,5658
WoodwardBot,5602
Chris G Bot,5572
CountryBot,5566
YonaBot,5558
GargoyleBot,5551
Merge bot,5445
EssjayBot II,5438
HasharBot~enwiki,5432
GurchBot,5369
WikiDreamer Bot,5299
RefDeskBot,5269
MediationBot,5249
Martin's bot,5197
MilHistBot,5157
Itubot,5156
SeveroBot,5152
MoondyneAWB,5102
EarwigBot III,5066
AfDStatBot,5017
Milk's Favorite Bot,4984
EBot II,4957
Android Mouse Bot 3,4940
Lt-wiki-bot,4850
SvickBOT,4836
ImageBacklogBot,4828
TuvicBot,4665
Uncle G's 'bot,4665
XZeroBot,4644
Beastie Bot,4633
John Bot III,4610
TinucherianBot II,4598
WaldirBot,4544
ClickBot,4533
CohesionBot,4520
WolterBot,4502
Hxhbot,4479
Dreamy Jazz Bot,4468
Movses-bot,4382
Loveless,4372
PbBot,4351
Soulbot,4348
FANSTARbot,4338
EssjayBot,4316
AmphBot,4293
Nobot~enwiki,4290
HBC AIV helperbot 8,4228
KaiserbBot,4210
JVbot,4204
UcuchaBot,4181
GhalyBot,4115
Skumarlabot,4102
RockfangBot,4033
WuBot,4030
Ugur Basak Bot~enwiki,3996
ST47Bot,3988
AnomieBOT II,3980
BotMultichillT,3941
Wikibot,3926
PlankBot,3919
Ginosbot,3918
Ken123BOT,3912
DomBot,3898
Sahimrobot,3878
Arbitrarily0Bot,3866
Grammarbot,3858
3RRBot,3841
ARSBot,3831
SundarBot,3782
OmniBot,3778
EleferenBot,3777
ZsinjBot,3728
Adlerbot,3726
SelectionBot,3716
SoxBot VI,3637
MMABot,3612
ClueBot Commons,3608
OldMedcabBot,3588
PNG crusade bot,3578
Sz-iwbot,3575
Aksibot,3575
AstRoBot,3550
AdambroBot,3452
MuZebot,3445
Mdann52 bot,3419
ToePeu.bot,3405
AstaBOTh15,3317
PolarBot,3308
FileBot,3303
FA Template Protection Bot,3295
Jayden54Bot,3219
WarddrBOT,3198
ChandlerMapBot,3187
MediationBot1,3161
Yonidebot,3116
DcoetzeeBot~enwiki,3068
KevinalewisBot,3023
AvicBot2,3005
Minsbot,2982
Emijrpbot,2959
MusikBot II,2958
PearBOT,2924
Albambot,2913
HtonlBot,2903
Jmax-bot,2811
Vini 17bot5,2804
TweetCiteBot,2798
VFD Bot,2787
R Delivery Bot,2764
PleaseStand (bot),2740
Sumanthk,2730
AZPR,2722
WolfBot,2721
DirlBot,2713
MartinBotIV,2690
Muhbot,2687
FiriBot,2677
SpaceFactsBot,2647
JamietwBot,2613
BepBot,2610
N-Bot,2525
Image Screening Bot,2476
Ohms Law Bot,2440
Amolbot,2393
H92Bot,2382
Kakashi Bot,2378
ImageTagBot,2368
Rfambot,2355
Tanhabot,2342
Rschen7754bot,2341
Diego Grez Bot,2333
Lucia Bot,2298
Signpost Book Bot,2293
EssjayBot III,2286
KadaneBot,2269
SEWilcoBot,2267
Byrialbot,2262
BetBot~enwiki,2261
Helsabot,2240
TonyBot,2238
Bot-Schafter,2233
WouterBot,2228
NodBot,2215
TFA Protector Bot,2209
RagesossBot,2207
NukeBot,2201
TestEditBot,2191
Giggabot,2188
MahdiBot,2181
HappyBot,2180
TottyBot,2167
StatusBot,2131
Chrisbot,2107
ProtectionTaggingBot,2101
Wiki Feed Bot,2095
BorgardeBot,2080
Bot523,2069
RFRBot,2042
AVBOT,2016
DYKBot,1986
Bocianski.bot,1962
Blood Oath Bot,1955
TAP Bot,1951
Robert SkyBot,1949
PascalBot,1881
MinusBot,1872
G-Bot~enwiki,1852
CopyToWiktionaryBot,1830
Taxobot 1,1830
NedBot,1827
AmeliorationBot,1824
KslotteBot,1823
LDBot,1797
FaleBot,1783
HarrivBOT,1775
BlevintronBot,1763
Zxabot,1758
ListasBot,1745
Bikabot,1744
Ocobot,1730
Kl4m-AWB,1714
IPTaggerBot,1711
PointBot,1701
Ver-bot,1694
Kwjbot,1693
CricketBot,1692
EjsBot,1689
SoxBot X,1664
SpillingBot,1663
SoxBot VIII,1646
Italic title bot,1608
RobotJcb,1599
Tom's Tagging Bot,1573
WikiBotas,1545
ListGenBot,1524
Wybot,1523
CrazynasBot,1516
Plasticbot,1472
Android Mouse Bot,1466
Peti610botH,1459
MonoBot,1434
FPBot,1427
JabbaTheBot,1424
KarBOT,1420
Pathosbot,1415
DustyBot,1382
InfoboxBot,1379
Taxobot 2,1349
Huzzlet the bot,1312
Ramaksoud2000Bot,1303
EBot IV,1291
ClueBot IV,1289
RoboServien,1288
DustaBot,1280
AzaBot,1277
ABot,1257
Fetofsbot,1255
Snaevar-bot,1237
Kisbesbot,1232
Eivindbot,1230
BotdeSki,1222
Yet Another Redirect Cleanup Bot,1218
Thadius856AWB,1217
Android Mouse Bot 4,1215
DannyS712 bot II,1205
Citation bot 4,1187
Texvc2LaTeXBot,1172
SoxBot VII,1155
BendelacBOT,1153
MerlBot,1139
NekoBot,1126
Citation bot 2,1121
AudeBot,1120
EnzaiBot,1114
O bot,1095
DeadLinkBOT,1083
Nixbot,1039
Memty Bot,1037
SantoshBot,1032
StefanBot,1028
Janna Isabot,1026
Slobot,1021
Analphabot,1020
AilurophobiaBot,1014
NrhpBot,1013
GracenotesBot,1003
WdefconBot,997
Botlaf,996
Andrewbot,981
Guanabot2,972
CbmBOT,966
STBotT,962
RobotQuistnix,940
WxBot,938
ClueBot VI,936
Ficbot,928
LostBot,912
DataflowBot,910
ClueBot V,891
Fajrbot,890
Botpankonin,889
SDPatrolBot II,889
Yetanotherbot,888
PocKleanBot,876
SwiftBot,875
Addihockey10 (automated),866
Razibot,862
John of Reading Bot,861
Alirezabot,858
AntiAbuseBot,856
DinoBot,856
Anibot,838
Legobot III,829
Joe's Olympic Bot,819
AndreasJSbot,818
EBot,807
JhealdBot,805
Rameshngbot,794
VP-bot,790
Roomba,779
